average rating,reviews count,location,location_code
4.5,"3,554","4201 W Wendover Ave, Greensboro, NC 27407",93
4.5,"3,761","2655 Gulf to Bay Blvd, Clearwater, FL 33759",94
4.3,"6,472","1405 Blair Towers Pl, Ottawa, ON K1J 1A5, Canada",95
4.6,"1,732","2A Walter E Foran Blvd, Flemington, NJ 08822",96
4.5,"1,586","1768 Old Country Rd, Riverhead, NY 11901",97
4.5,"2,698","218 Lower Mountain View Dr, Colchester, VT 05446",98
4.5,"2,680","10 Garet Pl, Commack, NY 11725",99
4.4,"3,092","10701 Sudley Manor Dr, Manassas, VA 20109",100
4.6,"1,751","4621 Coral Ridge Dr, Coral Springs, FL 33076",101
4.6,"2,209","125 Beacon Dr, Holbrook, NY 11741",102
4.6,"6,325","7795 W Flagler St #01, Miami, FL 33144",103
4.6,"3,509","10 Monocacy Blvd, Frederick, MD 21704",104
4.5,"2,267","740 Upper State Rd, North Wales, PA 19454",105
4.5,"1,786","25 Wayne Squibb Blvd, Fredericton, NB E3C 0G8, Canada",106
4.6,"3,706","3050 Ashley Town Center Dr, Charleston, SC 29414",107
4.6,"2,577","1450 Tingle Cir E, Mobile, AL 36606",108
4.5,"5,202","30550 Stephenson Hwy, Madison Heights, MI 48071",109
4.5,"4,852","13700 Middlebelt Rd, Livonia, MI 48150",110
4.5,"3,731","45460 Market St, Shelby Township, MI 48315",111
4.4,"5,075","3250 Vernon Blvd, Queens, NY 11106",112
