,average rating,reviews count,location,location_code
1,4.0,5215,"5734 S Orange Blossom Trl, Orlando, FL 32839",91
2,4.0,1061,"2320 No, Hanover Pike, Hampstead, MD 21074",92
3,4.0,5105,"1601 Rinehart Rd, Sanford, FL 32771",93
4,4.1,4343,"5825 Thunder Rd NW, Concord, NC 28027",94
5,4.1,7509,"11250 E Colonial Dr, Orlando, FL 32817",95
6,3.8,3583,"7430 Bell Creek Rd, Mechanicsville, VA 23111",96
7,3.9,4576,"1750 Nottingham Way, Hamilton Township, NJ 08619",97
8,3.8,2981,"5033 Transit Rd, Williamsville, NY 14221",98
9,4.0,2333,"1500 Market Pl Blvd, Cumming, GA 30041",99
10,4.0,2966,"6435 Bells Ferry Rd, Woodstock, GA 30189",100
11,3.8,3270,"1025 GA-34 E, Newnan, GA 30265",101
12,3.8,3648,"1436 Dogwood Dr SE, Conyers, GA 30013",102
13,3.8,4394,"4500 Fayetteville Rd, Raleigh, NC 27603",103
14,3.8,4529,"1105 Research Center Drive Atlanta SW Sw, Atlanta, GA 30331",104
15,4.0,2757,"265 NJ-73, West Berlin, NJ 08091",105
16,4.1,8999,"1471 E Osceola Pkwy, Kissimmee, FL 34744",106
17,4.0,3763,"1070 W Landis Ave, Vineland, NJ 08360",107
18,4.1,1760,"160 Broadway, Raynham, MA 02767",108
19,3.8,9892,"1675 S Christopher Columbus Blvd, Philadelphia, PA 19148",109
20,3.7,2523,"299 Valley Gate Dr, Warrington, PA 18976",110
21,3.8,5259,"1200 Marketplace Dr, Rochester, NY 14623",111
22,3.8,5373,"545 Pine Island Rd, North Fort Myers, FL 33903",112
23,4.0,6608,"33501 S Dixie Hwy, Florida City, FL 33034",113
24,4.1,4437,"10251 Shops Ln, Jacksonville, FL 32258",114
25,4.0,3880,"844 N Colony Rd, Wallingford, CT 06492",115
26,4.3,7127,"5851 NW 177th St, Hialeah, FL 33015",116
27,3.9,3280,"8000 Town Dr, Raleigh, NC 27616",117
28,4.3,7994,"15885 SW 88th St, Kendall, FL 33196",118
29,3.7,4911,"1170 N Military Hwy, Norfolk, VA 23502",119
30,3.9,7269,"2300 W Atlantic Blvd, Pompano Beach, FL 33069",120
31,4.1,3693,"19910 Bruce B Downs Blvd, Tampa, FL 33647",121
32,3.7,4179,"420 Buckland Hills Dr, Manchester, CT 06042",122
33,3.9,3288,"2150 Chili Ave, Rochester, NY 14624",123
34,3.7,4450,"1900 Cunningham Dr, Hampton, VA 23666",124
35,4.1,5002,"6192 Gunn Hwy, Tampa, FL 33625",125
36,3.7,6124,"4770 Colonial Blvd, Fort Myers, FL 33966",126
37,4.3,1492,"631 U.S. 9 S, Little Egg Harbor Township, NJ 08087",127
38,4.0,5536,"500 Bayonne Crossing Way, Bayonne, NJ 07002",128
39,4.0,2315,"4 College Park Ln, Georgetown, DE 19947",129
40,4.0,1855,"1504 N Parham Rd, Richmond, VA 23229",130
41,3.9,4758,"1450 Johns Lake Rd, Clermont, FL 34711",131
42,3.7,3114,"650 S Trooper Rd, Norristown, PA 19403",132
43,4.0,3421,"161 Berlin Rd, Cromwell, CT 06416",133
44,3.7,6032,"99 H St NW, Washington, DC 20001",134
45,4.1,3812,"1776 Plainfield Pike, Cranston, RI 02921",135
46,3.9,4367,"979 US-1, North Brunswick Township, NJ 08902",136
47,4.1,2770,"200 Otis St, Northborough, MA 01532",137
48,3.8,6794,"3290 Sheridan Dr, Amherst, NY 14226",138
49,3.9,5345,"1550 Skibo Rd, Fayetteville, NC 28303",139
50,4.0,1595,"54 Cousineau Dr, Swansea, MA 02777",140
51,3.8,3811,"4807 Valley View Blvd NW, Roanoke, VA 24012",141
52,4.0,4109,"725 Gold St, Manchester, NH 03103",142
53,4.0,5749,"23106 US Hwy 19 N, Clearwater, FL 33765",143
54,3.9,1106,"43 Stephenville St, Massena, NY 13662",144
55,3.8,2345,"1869 Plaza Dr, Olean, NY 14760",145
56,3.7,2054,"5054 NY-23, Oneonta, NY 13820",146
57,4.1,1131,"1031 Ten Rod Rd, North Kingstown, RI 02852",147
58,3.9,1554,"724 Brattleboro Rd, Hinsdale, NH 03451",148
59,4.0,1637,"152 NJ-31 N, Flemington, NJ 08822",149
60,3.9,2024,"33 Sherwood Dr, Tilton, NH 03276",150
61,3.6,2877,"100 Mt Auburn Ave, Auburn, ME 04210",151
62,3.9,2466,"4133 Veterans Memorial Dr, Batavia, NY 14020",152
63,3.6,2184,"297 Grant Ave, Auburn, NY 13021",153
64,4.0,2076,"474 Boston Post Rd, North Windham, CT 06256",154
65,3.7,2857,"45485 Miramar Way, California, MD 20619",155
66,3.8,4926,"355 Lincoln Ave, East Stroudsburg, PA 18301",156
67,3.8,1852,"14 Bowen St, Claremont, NH 03743",157
68,4.0,1917,"15 Tobey Rd, Wareham, MA 02571",158
69,4.2,1517,"610 Legion Rd, Denton, MD 21629",159
70,3.9,2908,"195 N West End Blvd, Quakertown, PA 18951",160
71,4.2,3356,"1500 B Cornerside Blvd, Vienna, VA 22182",161
72,3.7,2293,"135 Fairgrounds Memorial Pkwy, Ithaca, NY 14850",162
73,4.1,1282,"1415 Curran Memorial Hwy, North Adams, MA 01247",163
74,3.8,3694,"3141 Garden Rd, Burlington, NC 27215",164
75,4.1,1356,"6530 Trading Square, Haymarket, VA 20169",165
76,3.9,4424,"1590 Dunlawton Ave, Port Orange, FL 32127",166
77,4.0,3331,"5555 W Atlantic Blvd, Margate, FL 33063",167
78,3.6,2859,"1730 Lincoln Way E, Chambersburg, PA 17202",168
79,3.7,2901,"1515 Bethlehem Pike, Hatfield, PA 19440",169
80,4.1,13363,"150 Harrison Ave, Kearny, NJ 07032",170
81,4.0,3240,"4900 U.S. 9, Howell Township, NJ 07731",171
82,3.9,3893,"900 Stillwater Ave, Bangor, ME 04401",172
83,3.6,4956,"6420 Petrie Way Rd, Baltimore, MD 21237",173
84,3.7,4161,"1317 N Main St Ste A1, Summerville, SC 29483",174
85,3.9,5066,"2650 Creighton Rd, Pensacola, FL 32504",175
86,3.6,6100,"29176 Van Dyke Ave, Warren, MI 48093",176
87,3.8,5838,"14900 Dix Toledo Rd, Southgate, MI 48195",177
88,3.8,4738,"45400 Marketplace Blvd, Chesterfield Township, MI 48051",178
89,3.8,3869,"1201 NY-300, Newburgh, NY 12550",179
90,4.1,2024,"700 Lafayette Rd, Seabrook, NH 03874",180
