Company,Address,City,State,Zip Code,Longitude,Latitude,URL
BJ's Wholesale ,40 Black Rock Turnpike,Fairfield,CT,6605,-73.22972,41.16229,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@41.1625537,-73.2318769,17z/data=!3m1!4b1!4m5!3m4!1s0x89e80fd49f55709d:0xda06511f7195a53c!8m2!3d41.1625537!4d-73.2296882"
BJ's Wholesale ,500 State Road 7,Royal Palm Beach,FL,33411,-80.19907,26.68698,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@26.6867652,-80.2013766,17z/data=!3m2!4b1!5s0x88d92f25f0de9421:0xf0808be479091ef9!4m5!3m4!1s0x88d92f25b317c4e7:0xb66c7b350b78d9e9!8m2!3d26.6867652!4d-80.1991879"
BJ's Wholesale ,13053 Fair Lakes Shopping Center,Fairfax,VA,22033,-77.39487,38.85455,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@38.8547346,-77.397611,17z/data=!3m2!4b1!5s0x89b64590b7511889:0xd2b544f74275a501!4m5!3m4!1s0x89b6459725d39179:0x86bfe61e352fba94!8m2!3d38.8547346!4d-77.3954223"
BJ's Wholesale ,901 Technology Center Drive,Stoughton,MA,2072,-71.06534,42.14725,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@42.1469879,-71.0673742,17z/data=!3m1!4b1!4m5!3m4!1s0x89e483bc503f6ea9:0x51c739795b09e372!8m2!3d42.1469879!4d-71.0651855"
BJ's Wholesale ,100 BJ's Plaza  4408 Milestrip Rd.,Blasdell,NY,14219,-78.8143,42.7915,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@42.791302,-78.8165057,17z/data=!3m2!4b1!5s0x89d30f8d638e702b:0xb825fceca4a69340!4m5!3m4!1s0x89d30f8d5f55be79:0x9f2b8f8121ed1ffb!8m2!3d42.791302!4d-78.814317"
BJ's Wholesale ,3712 Virginia Beach Blvd.,Virginia Beach,VA,23452,-76.10104,36.84216,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@36.8419624,-76.1034719,17z/data=!3m2!4b1!5s0x89ba9538fb2a451f:0xa0065245d1ecb351!4m5!3m4!1s0x89ba9538f4d7b97b:0xe8ac8eb67cbbf961!8m2!3d36.8419624!4d-76.1012832"
BJ's Wholesale ,344 Reidville Drive,Waterbury,CT,6705,-73.00115,41.53664,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@41.5365742,-73.003773,17z/data=!3m1!4b1!4m5!3m4!1s0x89e7c13237234455:0x639f736647e1471b!8m2!3d41.5365742!4d-73.0015843"
BJ's Wholesale ,777 Washington Street,Auburn,MA,1501,-71.85313,42.18113,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@42.1806343,-71.855599,17z/data=!3m2!4b1!5s0x89e404ab21808079:0xdacbd9849a0fb16c!4m5!3m4!1s0x89e404aaf9aa11e9:0xec314c0ea316033f!8m2!3d42.1806343!4d-71.8534103"
BJ's Wholesale ,8 Sexton Avenue,Nashua,NH,3060,-71.45039,42.72835,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@42.7281684,-71.4523611,17z/data=!3m1!4b1!4m5!3m4!1s0x89e3b0998352ce49:0xd3b68c992aae3b81!8m2!3d42.7281684!4d-71.4501724"
BJ's Wholesale ,4201 Wholesale Club Drive,Baltimore,MD,21236,-76.49949,39.37907,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@39.3793681,-76.5015933,17z/data=!3m1!4b1!4m5!3m4!1s0x89c80858c25639b3:0xd13c40a50bf04dc!8m2!3d39.3793681!4d-76.4994046"
BJ's Wholesale ,14123 Noblewood Plaza,Woodbridge,VA,22193,-77.31315,38.64977,"https://www.google.com/maps/place/BJ's+Wholesale+Club/@38.6496843,-77.3153247,17z/data=!3m1!4b1!4m5!3m4!1s0x89b656409790aa81:0xfa590da768e724e4!8m2!3d38.6496843!4d-77.313136"
